# Data taken from https://wormatlas.org/NeuronNames.htm ;;;
R4BL; Ray 4 Neuron B Left; V6L.pppapapa, (R4.apaL); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion
R4BR; Ray 4 Neuron B Right; V6R.pppapapa, (R4.apaR); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion
R5AL; Ray 5 Neuron A Left; V6L.pppppaaa, (R5.aaaL); Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion
R5AR; Ray 5 Neuron A Right; V6R.pppppaaa, (R5.aaaR); Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion
R5BL; Ray 5 Neuron B Left; V6L.pppppapa, (R5.apaL); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion
R5BR; Ray 5 Neuron B Right; V6R.pppppapa, (R5.apaR); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion
R6AL; Ray 6 Neuron A Left; V6L.ppppaaaa, (R6.aaaL); Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion
R6AR; Ray 6 Neuron A Right; V6R.ppppaaaa, (R6.aaaR); Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion
R6BL; Ray 6 Neuron B Left; V6L.ppppaapa, (R6.apaL); Male sensory rays, neuron, not darkly staining nor open to outside, cell body in left lumbar ganglion
R6BR; Ray 6 Neuron B Right; V6R.ppppaapa, (R6.apaR); Male sensory rays, neuron, not darkly staining nor open to outside, cell body in right lumbar ganglion
R7AL; Ray 7 Neuron A Left; TL.apappaaa, (R7.aaaL); Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion
R7AR; Ray 7 Neuron A Right; TR.apappaaa, (R7.aaaR); Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion
R7BL; Ray 7 Neuron B Left; TL.apappapa, (R7.apaL); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion
R7BR; Ray 7 Neuron B Right; TR.apappapa, (R7.apaR); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion
R8AL; Ray 8 Neuron A Left; TL.appaaaaa, (R8.aaaL); Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion
R8AR; Ray 8 Neuron A Right; TR.appaaaaa, (R8.aaaR); Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion
R8BL; Ray 8 Neuron B Left; TL.appaaapa, (R8.apaL); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion
R8BR; Ray 8 Neuron B Right; TR.appaaapa, (R8.apaR); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion
R9AL; Ray 9 Neuron A Left; TL.appapaaa, (R9.aaaL); Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion
R9AR; Ray 9 Neuron A Right; TR.appapaaa, (R9.aaaR); Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion
R9BL; Ray 9 Neuron B Left; TL.appapapa, (R9.apaL); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion
R9BR; Ray 9 Neuron B Right; TR.appapapa, (R9.apaR); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion
RIAL; Ring Interneuron A Left; AB alapaapaa; Ring interneuron, many synapses
RIAR; Ring Interneuron A Right; AB alaapppaa; Ring interneuron, many synapses
RIBL; Ring Interneuron B Left; AB plpaappap; Ring interneuron
RIBR; Ring Interneuron B Right; AB prpaappap; Ring interneuron
RICL; Ring Interneuron C Left; AB plppaaaapp; Ring interneuron
RICR; Ring Interneuron C Right; AB prppaaaapp; Ring interneuron
RID; Ring Interneuron D; AB alappaapa; Ring interneuron, projects along dorsal cord
RIFL; Ring Interneuron F Left; AB plppapaaap; Ring interneuron
RIFR; Ring Interneuron F Right; AB prppapaaap; Ring interneuron
RIGL; Ring Interneuron G Left; AB plppappaa; Ring interneuron
RIGR; Ring Interneuron G Right; AB prppappaa; Ring interneuron
RIH; Ring Interneuron H; AB prpappaaa; Ring interneuron
RIML; Ring Interneuron M Left; AB plppaapap; Ring motor neuron
RIMR; Ring Interneuron M Right; AB prppaapap; Ring motor neuron
RIPL; Ring Interneuron P Left; AB alpapaaaa; Ring/pharynx interneuron, only direct connection between pharynx and ring
RIPR; Ring Interneuron P Right; AB arappaaaa; Ring/pharynx interneuron, only direct connection between pharynx and ring
RIR; Ring Interneuron R; AB prpapppaa; Ring interneuron
RIS; Ring Interneuron S; AB prpappapa; Ring interneuron
RIVL; Ring Interneuron V Left; AB plpaapaaa; Ring interneuron
RIVR; Ring Interneuron V Right; AB prpaapaaa; Ring interneuron
RMDDL; Ring Motor Neuron D Dorsal Left; AB alpapapaa; Ring motor neuron/interneuron, many synapses
RMDDR; Ring Motor Neuron D Dorsal Right; AB arappapaa; Ring motor neuron/interneuron, many synapses
RMDL; Ring Motor Neuron D Left; AB alpppapad; Ring motor neuron/interneuron, many synapses
RMDR; Ring Motor Neuron D Right; AB praaaapad; Ring motor neuron/interneuron, many synapses
RMDVL; Ring Motor Neuron D Ventral Left; AB alppapaaa; Ring motor neuron/interneuron, many synapses
RMDVR; Ring Motor Neuron D Ventral Right; AB arapppaaa; Ring motor neuron/interneuron, many synapses
RMED; Ring Motor Neuron E Dorsal; AB alapppaap; Ring motor neuron
RMEL; Ring Motor Neuron E Left; AB alaaaarlp; Ring motor neuron
RMER; Ring Motor Neuron E Right; AB alaaaarrp; Ring motor neuron
RMEV; Ring Motor Neuron E Ventral; AB plpappaaa; Ring motor neuron
RMFL; Ring Motor Neuron F Left; G2.al; Ring motor neuron/interneuron
RMFR; Ring Motor Neuron F Right; G2.ar; Ring motor neuron/interneuron
RMGL; Ring Motor Neuron G Left; AB plapaaapp; Ring interneuron
RMGR; Ring Motor Neuron G Right; AB prapaaapp; Ring interneuron
RMHL; Ring Motor Neuron H Left; G1.l; Ring motor neuron/interneuron
RMHR; Ring Motor Neuron H Right; G1.r; Ring motor neuron/interneuron
SAADL; Sublateral Anterior A Dorsal Left; AB alppapapa; Ring interneuron, anteriorly projecting process that runs sublaterally
SAADR; Sublateral Anterior A Dorsal Right; AB arapppapa; Ring interneuron, anteriorly projecting process that runs sublaterally
SAAVL; Sublateral Anterior A Ventral Left; AB plpaaaaaa; Ring interneuron, anteriorly projecting process that runs sublaterally
SAAVR; Sublateral Anterior A Ventral Right; AB prpaaaaaa; Ring interneuron, anteriorly projecting process that runs sublaterally
SABD; Sublateral Anterior B Dorsal; AB plppapaap; Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1
SABVL; Sublateral Anterior B Ventral Left; AB plppapaaaa; Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1
SABVR; Sublateral Anterior B Ventral Right; AB prppapaaaa; Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1
SDQL; Sublateral Dorsal Q-cell Derived Left; QL.pap; Post. lateral interneuron, process projects into ring
SDQR; Sublateral Dorsal Q-cell Derived Right; QR.pap; Ant. lateral interneuron, process projects into ring
SIADL; Sublateral Interneuron A Dorsal Left; AB plpapaapa; Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally
SIADR; Sublateral Interneuron A Dorsal Right; AB prpapaapa; Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally
SIAVL; Sublateral Interneuron A Ventral Left; AB plpapappa; Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally
SIAVR; Sublateral Interneuron A Ventral Right; AB prpapappa; Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally
SIBDL; Sublateral Interneuron B Dorsal Left; AB plppaaaaa; Similar to SIA
SIBDR; Sublateral Interneuron B Dorsal Right; AB prppaaaaa; Similar to SIA
SIBVL; Sublateral Interneuron B Ventral Left; AB plpapaapp; Similar to SIA
SIBVR; Sublateral Interneuron B Ventral Right; AB prpapaapp; Similar to SIA
SMBDL; Sublateral Motor Neuron B Dorsal Left; AB alpapapapp; Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally
SMBDR; Sublateral Motor Neuron B Dorsal Right; AB arappapapp; Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally
SMBVL; Sublateral Motor Neuron B Ventral Left; AB alpapappp; Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally
SMBVR; Sublateral Motor Neuron B Ventral Right; AB arappappp; Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally
SMDDL; Sublateral Motor Neuron D Dorsal Left; AB plpapaaaa; Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally
SMDDR; Sublateral Motor Neuron D Dorsal Right; AB prpapaaaa; Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally
SMDVL; Sublateral Motor Neuron D Ventral Left; AB alppappaa; Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally
SMDVR; Sublateral Motor Neuron D Ventral Right; AB arappppaa; Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally
SPCL; SPicule Neuron C Left; B.alpaap; Male specific sensory/motor neuron, innervates spicule protractor muscle, cell body in left cloacal ganglion
SPCR; SPicule Neuron C Right; B.arpaap; Male specific sensory/motor neuron, innervates spicule protractor muscle, cell body in right cloacal ganglion
SPDL; SPicule Neuron D Left; B.alpapaa; Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in left cloacal ganglion
SPDR; SPicule Neuron D Right; B.arpapaa; Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in right cloacal ganglion
SPVL; SPicule Neuron V Left; B.al/raalda; Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in left cloacal ganglion
SPVR; SPicule Neuron V Right; B.al/raarda; Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in right cloacal ganglion
URADL; Unknown Receptor, not Ciliated A Dorsal Left; AB plaaaaaaa; Ring motor neuron
URADR; Unknown Receptor, not Ciliated A Dorsal Right; AB arpapaaaa; Ring motor neuron
URAVL; Unknown Receptor, not Ciliated A Ventral Left; AB plpaaapaa; Ring motor neuron
URAVR; Unknown Receptor, not Ciliated A Ventral Right; AB prpaaapaa; Ring motor neuron
URBL; Unknown Receptor, not Ciliated B Left; AB plaapaapa; Neuron, presynaptic in ring, ending in head
URBR; Unknown Receptor, not Ciliated B Right; AB praapaapa; Neuron, presynaptic in ring, ending in head
URXL; Unknown Receptor, not Ciliated X Left; AB plaaaaappp; Ring interneuron
URXR; Unknown Receptor, not Ciliated X Right; AB arpapaappp; Ring interneuron
URYDL; Unknown Receptor, not Ciliated Y Dorsal Left; AB alapapapp; Neuron, presynaptic in ring, ending in head
URYDR; Unknown Receptor, not Ciliated Y Dorsal Right; AB alapppapp; Neuron, presynaptic in ring, ending in head
URYVL; Unknown Receptor, not Ciliated Y Ventral Left; AB plpaaappp; Neuron, presynaptic in ring, ending in head
URYVR; Unknown Receptor, not Ciliated Y Ventral Right; AB prpaaappp; Neuron, presynaptic in ring, ending in head
VA1; Ventral A-type Motor Neuron 1; W.pa; Ventral cord motor neuron, innervates vent. body muscles
VA2; Ventral A-type Motor Neuron 2; P2.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA3; Ventral A-type Motor Neuron 3; P3.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA4; Ventral A-type Motor Neuron 4; P4.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA5; Ventral A-type Motor Neuron 5; P5.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA6; Ventral A-type Motor Neuron 6; P6.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA7; Ventral A-type Motor Neuron 7; P7.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA8; Ventral A-type Motor Neuron 8; P8.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA9; Ventral A-type Motor Neuron 9; P9.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA10; Ventral A-type Motor Neuron 10; P10.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA11; Ventral A-type Motor Neuron 11; P11.aaaa; Ventral cord motor neuron, innervates vent. body muscles
VA12; Ventral A-type Motor Neuron 12; P12.aaaa; Ventral cord motor neuron, innervates vent. body muscles, but also interneuron in preanal ganglion
VB1; Ventral B-type Motor Neuron 1; P1.aaap; Ventral cord motor neuron, innervates vent. body muscles, also interneuron in ring
VB2; Ventral B-type Motor Neuron 2; W.aap; Ventral cord motor neuron, innervates vent. body muscles
VB3; Ventral B-type Motor Neuron 3; P2.aaap; Ventral cord motor neuron, innervates vent. body muscles
VB4; Ventral B-type Motor Neuron 4; P3.aaap; Ventral cord motor neuron, innervates vent. body muscles
VB5; Ventral B-type Motor Neuron 5; P4.aaap; Ventral cord motor neuron, innervates vent. body muscles
VB6; Ventral B-type Motor Neuron 6; P5.aaap; Ventral cord motor neuron, innervates vent. body muscles
VB7; Ventral B-type Motor Neuron 7; P6.aaap; Ventral cord motor neuron, innervates vent. body muscles
VB8; Ventral B-type Motor Neuron 8; P7.aaap; Ventral cord motor neuron, innervates vent. body muscles
VB9; Ventral B-type Motor Neuron 9; P8.aaap; Ventral cord motor neuron, innervates vent. body muscles
VB10; Ventral B-type Motor Neuron 10; P9.aaap; Ventral cord motor neuron, innervates vent. body muscles
VB11; Ventral B-type Motor Neuron 11; P10.aaap; Ventral cord motor neuron, innervates vent. body muscles
VC1; Ventral C-type Motor Neuron 1; P3.aap; Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
VC2; Ventral C-type Motor Neuron 2; P4.aap; Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
VC3; Ventral C-type Motor Neuron 3; P5.aap; Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
VC4; Ventral C-type Motor Neuron 4; P6.aap; Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
VC5; Ventral C-type Motor Neuron 5; P7.aap; Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
VC6; Ventral C-type Motor Neuron 6; P8.aap; Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
VD1; Ventral D-type Motor Neuron 1; W.pp; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD2; Ventral D-type Motor Neuron 2; P1.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD3; Ventral D-type Motor Neuron 3; P2.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD4; Ventral D-type Motor Neuron 4; P3.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD5; Ventral D-type Motor Neuron 5; P4.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD6; Ventral D-type Motor Neuron 6; P5.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD7; Ventral D-type Motor Neuron 7; P6.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD8; Ventral D-type Motor Neuron 8; P7.app; Ventralcord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD9; Ventral D-type Motor Neuron 9; P8.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD10; Ventral D-type Motor Neuron 10; P9.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD11; Ventral D-type Motor Neuron 11; P10.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD12; Ventral D-type Motor Neuron 12; P11.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
VD13; Ventral D-type Motor Neuron 13; P12.app; Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor
