# Data taken from https://wormatlas.org/NeuronNames.htm ;;;
AVFR; Anterior Ventral Process F Right; P1.aaaa/ W.aaa; Interneuron
AVG; Anterior Ventral Process G; AB prpapppap; Ventral cord interneuron
AVHL; Anterior Ventral Process H Left; AB alapaaaaa; Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring
AVHR; Anterior Ventral Process H Right; AB alappapaa; Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring
AVJL; Anterior Ventral Process J Left; AB alapapppa; Neuron, synapses like AVHL/R
AVJR; Anterior Ventral Process J Right; AB alapppppa; Neuron, synapses like AVHL/R
AVKL; Anterior Ventral Process K Left; AB plpapapap; Ring and ventral cord interneuron
AVKR; Anterior Ventral Process K Right; AB prpapapap; Ring and ventral cord interneuron
AVL; Anterior Ventral Process L; AB prpappaap; Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses
AVM; Anterior Ventral Microtubule Neuron; QR.paa; Anterior ventral microtubule cell, touch receptor
AWAL; Amphid Wing Neuron A Left; AB plaapapaa; Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWAR; Amphid Wing Neuron A Right; AB praapapaa; Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWBL; Amphid Wing Neuron B Left; AB alpppppap; Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWBR; Amphid Wing Neuron B Right; AB praaappap; Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWCL; Amphid Wing Neuron C Left; AB plpaaaaap; Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWCR; Amphid Wing Neuron C Right; AB prpaaaaap; Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
BAGL; BAG-like Dendritic Ending Left; AB alppappap; Neuron, ciliated ending in head, no supporting cells, associated with ILso
BAGR; BAG-like Dendritic Ending Right; AB arappppap; Neuron, ciliated ending in head, no supporting cells, associated with ILso
BDUL; Black Vesicles, Deirid Locale, Unknown Function Left; AB arppaappp; Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles
BDUR; Black Vesicles, Deirid Locale, Unknown Function Right; AB arpppappp; Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles
CA1; C-type Neuron, Anterior Daughter after Division 1; P3.aapa; Male specific cells, ventral cord, not constructed
CA2; C-type Neuron, Anterior Daughter after Division 2; P4.aapa; Male specific cells, ventral cord, not constructed
CA3; C-type Neuron, Anterior Daughter after Division 3; P5.aapa; Male specific cells, ventral cord, not constructed
CA4; C-type Neuron, Anterior Daughter after Division 4; P6.aapa; Male specific neuron, ventral cord, innervates dorsal muscles
CA5; C-type Neuron, Anterior Daughter after Division 5; P7.aapa; Male specific neuron, ventral cord, innervates dorsal muscles
CA6; C-type Neuron, Anterior Daughter after Division 6; P8.aapa; Male specific neuron, ventral cord, innervates dorsal muscles
CA7; C-type Neuron, Anterior Daughter after Division 7; P9.aapa; Male specific neuron, ventral cord, innervates dorsal muscles
CA8; C-type Neuron, Anterior Daughter after Division 8; P10.aapa; Male specific cell, ventral cord, neuron-like but lacks synapses
CA9; C-type Neuron, Anterior Daughter after Division 9; P11.aapa; Male specific cell, ventral cord, neuron-like but lacks synapses
CANL; Excretory CANal-associated Neuron Left; AB alapaaapa; Process runs along excretory canal, no synapses, essential for survival
CANR; Excretory CANal-associated Neuron Right; AB alappappa; Process runs along excretory canal, no synapses, essential for survival
CEMDL; CEphalic Male Sensory Neuron Dorsal Left; AB plaaaaaap; Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite
CEMDR; CEphalic Male Sensory Neuron Dorsal Right; AB arpapaaap; Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite
CEMVL; CEphalic Male Sensory Neuron Ventral Left; AB plpaapapp; Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite
