Cell name,Type,Name details,Lineage,Classification
AVDR,Layer 2 interneuron,Anterior Ventral Process D Right,AB alaaapprl,Ventral cord interneuron
AVEL,Layer 1 interneuron,Anterior Ventral Process E Left,AB alpppaaaa,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord"
AVER,Layer 1 interneuron,Anterior Ventral Process E Right,AB praaaaaaa,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord"
AVFL,Layer 3 interneuron,Anterior Ventral Process F Left,P1.aaaa/ W.aaa,Interneuron
AVFR,Layer 3 interneuron,Anterior Ventral Process F Right,P1.aaaa/ W.aaa,Interneuron
AVG,Layer 3 interneuron,Anterior Ventral Process G,AB prpapppap,Ventral cord interneuron
AVHL,Layer 3 interneuron,Anterior Ventral Process H Left,AB alapaaaaa,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring"
AVHR,Layer 3 interneuron,Anterior Ventral Process H Right,AB alappapaa,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring"
AVJL,Layer 2 interneuron,Anterior Ventral Process J Left,AB alapapppa,"Neuron, synapses like AVHL/R"
AVJR,Layer 2 interneuron,Anterior Ventral Process J Right,AB alapppppa,"Neuron, synapses like AVHL/R"
AVKL,Layer 2 interneuron,Anterior Ventral Process K Left,AB plpapapap,Ring and ventral cord interneuron
AVKR,Layer 2 interneuron,Anterior Ventral Process K Right,AB prpapapap,Ring and ventral cord interneuron
AVL,Layer 2 interneuron,Anterior Ventral Process L,AB prpappaap,Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses
AVM,Mechanosensory,Anterior Ventral Microtubule Neuron,QR.paa,"Anterior ventral microtubule cell, touch receptor"
AWAL,Amphid,Amphid Wing Neuron A Left,AB plaapapaa,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWAR,Amphid,Amphid Wing Neuron A Right,AB praapapaa,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWBL,Amphid,Amphid Wing Neuron B Left,AB alpppppap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWBR,Amphid,Amphid Wing Neuron B Right,AB praaappap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWCL,Amphid,Amphid Wing Neuron C Left,AB plpaaaaap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWCR,Amphid,Amphid Wing Neuron C Right,AB prpaaaaap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
BAGL,"O2, CO2, social signals, touch",BAG-like Dendritic Ending Left,AB alppappap,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
BAGR,"O2, CO2, social signals, touch",BAG-like Dendritic Ending Right,AB arappppap,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
BDUL,Layer 3 interneuron,"Black Vesicles, Deirid Locale, Unknown Function Left",AB arppaappp,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles"
BDUR,Layer 3 interneuron,"Black Vesicles, Deirid Locale, Unknown Function Right",AB arpppappp,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles"
CANL,Canal neuron,Excretory CANal-associated Neuron Left,AB alapaaapa,"Process runs along excretory canal, no synapses, essential for survival"
CANR,Canal neuron,Excretory CANal-associated Neuron Right,AB alappappa,"Process runs along excretory canal, no synapses, essential for survival"
CEPDL,Cephalic,CEPhalic Sensory Neuron Dorsal Left,AB plaaaaappa,"Cephalic neurons, contain dopamine"
CEPDR,Cephalic,CEPhalic Sensory Neuron Dorsal Right,AB arpapaappa,"Cephalic neurons, contain dopamine"
CEPVL,Cephalic,CEPhalic Sensory Neuron Ventral Left,AB plpaappppa,"Cephalic neurons, contain dopamine"
CEPVR,Cephalic,CEPhalic Sensory Neuron Ventral Right,AB prpaappppa,"Cephalic neurons, contain dopamine"
DA1,Ventral cord motor neuron,Dorsal A-type Motor Neuron 1,AB prppapaap,"Ventral cord motor neurons, innervate dorsal muscles"
DA2,Ventral cord motor neuron,Dorsal A-type Motor Neuron 2,AB plppapapa,"Ventral cord motor neurons, innervate dorsal muscles"
DA3,Ventral cord motor neuron,Dorsal A-type Motor Neuron 3,AB prppapapa,"Ventral cord motor neurons, innervate dorsal muscles"
DA4,Ventral cord motor neuron,Dorsal A-type Motor Neuron 4,AB plppapapp,"Ventral cord motor neurons, innervate dorsal muscles"
DA5,Ventral cord motor neuron,Dorsal A-type Motor Neuron 5,AB prppapapp,"Ventral cord motor neurons, innervate dorsal muscles"
DA6,Ventral cord motor neuron,Dorsal A-type Motor Neuron 6,AB plpppaaap,"Ventral cord motor neurons, innervate dorsal muscles"
DA7,Ventral cord motor neuron,Dorsal A-type Motor Neuron 7,AB prpppaaap,"Ventral cord motor neurons, innervate dorsal muscles"
DA8,Ventral cord motor neuron,Dorsal A-type Motor Neuron 8,AB prpapappp,"Ventral cord motor neurons, innervate dorsal muscles"
DA9,Ventral cord motor neuron,Dorsal A-type Motor Neuron 9,AB plpppaaaa,"Ventral cord motor neurons, innervate dorsal muscles"
DB1,Ventral cord motor neuron,Dorsal B-type Motor Neuron 1,AB plpaaaapp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor (aka DB1/3)"
DB2,Ventral cord motor neuron,Dorsal B-type Motor Neuron 2,AB arappappa,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor (aka DB3/1)"
DB3,Ventral cord motor neuron,Dorsal B-type Motor Neuron 3/1,AB prpaaaapp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
DB4,Ventral cord motor neuron,Dorsal B-type Motor Neuron 4,AB prpappapp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
DB5,Ventral cord motor neuron,Dorsal B-type Motor Neuron 5,AB plpapappp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
DB6,Ventral cord motor neuron,Dorsal B-type Motor Neuron 6,AB plppaappp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
DB7,Ventral cord motor neuron,Dorsal B-type Motor Neuron 7,AB prppaappp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
DD1,Ventral cord motor neuron,Dorsal D-type Motor Neuron 1,AB plppappap,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
DD2,Ventral cord motor neuron,Dorsal D-type Motor Neuron 2,AB prppappap,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
DD3,Ventral cord motor neuron,Dorsal D-type Motor Neuron 3,AB plppapppa,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
DD4,Ventral cord motor neuron,Dorsal D-type Motor Neuron 4,AB prppapppa,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
DD5,Ventral cord motor neuron,Dorsal D-type Motor Neuron 5,AB plppapppp,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
DD6,Ventral cord motor neuron,Dorsal D-type Motor Neuron 6,AB prppapppp,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
DVA,Mechanosensory,Dorsorectal Ganglion Ventral Process A,AB prppppapp,"Ring interneurons, cell bodies in dorsorectal ganglion"
DVB,Layer 3 interneuron,Dorsorectal Ganglion Ventral Process B,K.p,An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles
